,News Source,Tweet,Tweets Ago,Date,Compound,Positive,Neutral,Negative
79,@BBCNews,"'Vaping' pilot caused Air China plane to plunge 6,500m https://t.co/NNsvdsGEet",80,Fri Jul 13 09:26:55 +0000 2018,0.0,0.0,0.0,1.0
80,@BBCNews,"RT @BBCSport: Chelsea have confirmed the sacking of manager Antonio Conte.

#bbcfootball https://t.co/zVCdvvNKka",81,Fri Jul 13 09:26:23 +0000 2018,0.0,0.0,0.0,1.0
81,@BBCNews,RT @bbcweather: Some people are getting very excited at the prospect of a rare shower.  But where will they be?  Catch up with this forecas…,82,Fri Jul 13 09:10:11 +0000 2018,0.3499,0.135,0.0,0.865
82,@BBCNews,"RT @bbctennis: Today's Centre Court line-up

🎾 Kevin Anderson [8] v John Isner [9]
🎾 Rafael Nadal [2] v Novak Djokovic [12]

 👉 https://t.c…",83,Fri Jul 13 09:04:08 +0000 2018,0.0,0.0,0.0,1.0
83,@BBCNews,"RT @BBCSport: 128 ➡ 4

It's men's semi-finals day at #Wimbledon!

📺 @BBCTwo from 12:30 BST
📺 @BBCOne from 13:45 BST
📻 @5liveSport 
💻📱 https…",84,Fri Jul 13 08:36:13 +0000 2018,0.0,0.0,0.0,1.0
84,@BBCNews,RT @BBCNormanS: Things just got even worse for Team May after Tory Brexiteers signal they likely to side with Labour to defeat Govt over Cu…,85,Fri Jul 13 08:36:07 +0000 2018,-0.7269,0.0,0.21,0.79
85,@BBCNews,Thai cave rescue: Rick Stanton says he is 'not a hero' https://t.co/De28kbaxBo,86,Fri Jul 13 08:33:10 +0000 2018,0.0966,0.217,0.192,0.591
86,@BBCNews,Tory MP Michel Fabricant accused of Islamophobia over Sadiq Khan tweet https://t.co/a0mTFEVsss,87,Fri Jul 13 08:25:52 +0000 2018,-0.296,0.0,0.167,0.833
87,@BBCNews,"RT @BBCSport: For the seventh time this decade, Chelsea are changing their manager.

So, where did it all go wrong for Antonio Conte?

👉 ht…",88,Fri Jul 13 07:48:09 +0000 2018,-0.4767,0.0,0.103,0.897
88,@BBCNews,Richard Bacon in induced coma after infection https://t.co/yFTPOYs13P,89,Fri Jul 13 07:44:43 +0000 2018,0.0,0.0,0.0,1.0
89,@BBCNews,"RT @BBCr4today: ""We will be respectful and polite to our guest, we believe in diplomatic good manners and will show that"" - @AlanDuncanMP s…",90,Fri Jul 13 07:29:04 +0000 2018,0.7096,0.219,0.0,0.781
90,@BBCNews,"Follow our ongoing coverage &amp; analysis of #TrumpVisitUK

https://t.co/CT1gVH2f5p https://t.co/YURv14iVxz",91,Fri Jul 13 07:28:33 +0000 2018,0.0,0.0,0.0,1.0
91,@BBCNews,"RT @BBCPolitics: 'Is that a new episode of #Brexitcast I can hear?'

The #Brexit blueprint and @realDonaldTrump's not-at-all awkward interv…",92,Fri Jul 13 07:02:29 +0000 2018,-0.1531,0.0,0.086,0.914
92,@BBCNews,Your morning briefing: Trump says Brexit plan could ‘kill’ UK-US trade deal; Police ask for more help with Novichok… https://t.co/X2RWUvOxvy,93,Fri Jul 13 06:50:04 +0000 2018,0.4576,0.136,0.0,0.864
93,@BBCNews,"Follow the latest developments as #TrumpVisitUK continues

https://t.co/4AdUZ2FIv9 https://t.co/oCeOgXLOmC",94,Fri Jul 13 06:38:10 +0000 2018,0.0,0.0,0.0,1.0
94,@BBCNews,Why US presidents love to play golf in Scotland https://t.co/H6fCBKWuK9,95,Fri Jul 13 05:56:13 +0000 2018,0.765,0.452,0.0,0.548
95,@BBCNews,Pick of the Proms: Five stand-outs from the 2018 season https://t.co/y9d2ZQYznW,96,Fri Jul 13 05:51:15 +0000 2018,0.0,0.0,0.0,1.0
96,@BBCNews,"News Daily: Trump's Brexit attack, and police plead for help https://t.co/DRbcQ9pbF6",97,Fri Jul 13 05:39:15 +0000 2018,-0.1027,0.182,0.209,0.608
97,@BBCNews,Johnson &amp; Johnson to pay $4.7bn damages in talc cancer case https://t.co/xfYOITksdx,98,Fri Jul 13 05:33:59 +0000 2018,-0.8271,0.0,0.492,0.508
98,@BBCNews,"RT @BBCMaryam: As President Trump warns that the UK Prime minister’s Brexit strategy is putting a UK/US trade deal at risk, we want to know…",99,Fri Jul 13 03:02:13 +0000 2018,-0.296,0.05,0.136,0.814
99,@BBCNews,Leeds school uses spoons to help prevent forced marriage https://t.co/cODxMZKQnM,100,Fri Jul 13 01:57:41 +0000 2018,-0.0516,0.275,0.217,0.507
100,@BBCNews,Why Brussels is keeping quiet on May's White Paper https://t.co/6w9BtpEj4g,101,Fri Jul 13 01:22:46 +0000 2018,0.0,0.0,0.0,1.0
